"name"	"taxRank"	"taxID"	"Max"	"porechoped_A_16S01.cladeReads.."	"porechoped_A_16S02.cladeReads.."	"porechoped_A_16S03.cladeReads.."	"porechoped_A_16S04.cladeReads.."	"porechoped_A_16S05.cladeReads.."	"porechoped_A_16S06.cladeReads.."	"porechoped_A_16S07.cladeReads.."	"porechoped_A_16S08.cladeReads.."	"porechoped_A_16S09.cladeReads.."	"porechoped_A_16S10.cladeReads.."	"porechoped_A_16S11.cladeReads.."	"porechoped_A_16S12.cladeReads.."	"porechoped_B_16S01.cladeReads.."	"porechoped_B_16S02.cladeReads.."	"porechoped_B_16S03.cladeReads.."	"porechoped_B_16S04.cladeReads.."	"porechoped_B_16S05.cladeReads.."	"porechoped_B_16S06.cladeReads.."	"porechoped_B_16S07.cladeReads.."	"porechoped_B_16S08.cladeReads.."	"porechoped_B_16S09.cladeReads.."	"porechoped_B_16S10.cladeReads.."	"porechoped_B_16S11.cladeReads.."	"porechoped_B_16S12.cladeReads.."	"porechoped_C_16S01.cladeReads.."	"porechoped_C_16S02.cladeReads.."	"porechoped_C_16S03.cladeReads.."	"porechoped_C_16S04.cladeReads.."	"porechoped_C_16S05.cladeReads.."	"porechoped_C_16S06.cladeReads.."	"porechoped_C_16S07.cladeReads.."	"porechoped_C_16S08.cladeReads.."	"porechoped_C_16S09.cladeReads.."	"porechoped_C_16S10.cladeReads.."	"porechoped_C_16S11.cladeReads.."	"porechoped_C_16S12.cladeReads.."	"porechoped_C_2_16S01.cladeReads.."	"porechoped_C_2_16S02.cladeReads.."	"porechoped_C_2_16S03.cladeReads.."	"porechoped_C_2_16S04.cladeReads.."	"porechoped_C_2_16S05.cladeReads.."	"porechoped_C_2_16S06.cladeReads.."	"porechoped_C_2_16S07.cladeReads.."	"porechoped_C_2_16S08.cladeReads.."	"porechoped_C_2_16S09.cladeReads.."	"porechoped_C_2_16S10.cladeReads.."	"porechoped_C_2_16S11.cladeReads.."	"porechoped_C_2_16S12.cladeReads.."	"porechoped_D_16S01.cladeReads.."	"porechoped_D_16S02.cladeReads.."	"porechoped_D_16S03.cladeReads.."	"porechoped_D_16S04.cladeReads.."	"porechoped_D_16S05.cladeReads.."	"porechoped_D_16S06.cladeReads.."	"porechoped_D_16S08.cladeReads.."	"lineage"
"Spirochaeta thermophila"	"S"	154	0.03051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002939	NA	NA	NA	NA	NA	0.01693	NA	NA	0.03051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Spirochaetaceae>Spirochaeta"
"Rhodoplanes sp. Z2-YC6860"	"S"	674703	0.05643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae>Rhodoplanes"
"Candidatus Filomicrobium marinum"	"S"	1608628	0.02822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae>Filomicrobium"
"Betaproteobacteria bacterium GR16-43"	"S"	1904640	0.3012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05643	NA	0.01653	0.00517	NA	0.01693	0.3012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>unclassified&nbsp;Betaproteobacteria>unclassified&nbsp;Betaproteobacteria&nbsp;(miscellaneous)"
"Planococcus sp. PAMC 21323"	"S"	1526927	0.02822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Planococcaceae>Planococcus"
"Dermacoccus nishinomiyaensis"	"S"	1274	0.05643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Dermacoccaceae>Dermacoccus"
"Kineococcus radiotolerans"	"S"	131568	0.05643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Kineosporiales>Kineosporiaceae>Kineococcus"
"Candidatus Saccharibacteria bacterium YM_S32_TM7_50_20"	"S"	2056494	0.1975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>unclassified&nbsp;Bacteria>Bacteria&nbsp;candidate&nbsp;phyla>Candidatus&nbsp;Saccharibacteria>unclassified&nbsp;Saccharibacteria"
"Chryseolinea sp. KIS68-18"	"S"	2321403	0.1411	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1411	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.06608	0.05731	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>unclassified&nbsp;Cytophagales>Chryseolinea"
"[Eubacterium] rectale"	"S"	39491	18.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.44	11.35	15.18	6.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>unclassified&nbsp;Lachnospiraceae"
"Lachnospiraceae bacterium Choco86"	"S"	2109690	2.274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.24	1.737	2.274	0.889	NA	NA	0.06101	NA	NA	NA	0.01014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01653	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>unclassified&nbsp;Lachnospiraceae"
"Lachnospiraceae bacterium GAM79"	"S"	2109691	1.102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3803	0.4188	1.102	0.7789	NA	NA	NA	NA	0.08811	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>unclassified&nbsp;Lachnospiraceae"
"Lachnoclostridium phocaeense"	"S"	1871021	1.72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.72	0.6101	1.68	0.6096	NA	NA	NA	NA	0.02203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Lachnoclostridium"
"[Clostridium] saccharolyticum"	"S"	84030	0.7275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7275	0.08272	0.6782	0.2371	NA	NA	NA	NA	NA	NA	NA	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Lachnoclostridium"
"[Clostridium] sphenoides"	"S"	29370	0.0291	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01653	0.02068	0.02312	0.0254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0291	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Lachnoclostridium"
"Anaerostipes hadrus"	"S"	649756	6.052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.052	4.596	3.931	0.9906	NA	NA	0.4271	0.07375	0.02203	0.08596	NA	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Anaerostipes"
"Blautia hansenii"	"S"	1322	0.6614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6614	0.1551	0.3776	0.1863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Blautia"
"Butyrivibrio hungatei"	"S"	185008	0.5318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3472	0.4705	0.5318	0.3302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Butyrivibrio"
"Herbinix luporum"	"S"	1679721	0.3468	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2811	0.1189	0.3468	0.06773	NA	NA	NA	NA	NA	0.1146	NA	0.02727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Herbinix"
"Lachnoanaerobaculum umeaense"	"S"	617123	1.495	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03307	0.01034	NA	0.0254	0.2008	NA	1.495	1.18	0.1542	0.9742	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Lachnoanaerobaculum"
"Faecalibacterium prausnitzii"	"S"	853	40.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.86	40.4	26.62	19.47	NA	NA	0.03051	NA	0.02203	NA	NA	24.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae>Faecalibacterium"
"Ruminococcus champanellensis"	"S"	1161942	2.301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7771	2.301	1.303	2.269	NA	NA	NA	NA	NA	NA	NA	0.08181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae>Ruminococcus"
"Ruminococcus bicirculans"	"S"	1160721	0.2646	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2646	0.1654	0.03854	0.008467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae>Ruminococcus"
"Ruminococcus albus"	"S"	1264	0.01653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01653	NA	0.01541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae>Ruminococcus"
"Flavonifractor plautii"	"S"	292800	0.6448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6448	0.3619	0.5241	0.3048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae>Flavonifractor"
"Ruminococcaceae bacterium CPB6"	"S"	1572656	0.4464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4464	0.2844	0.316	0.0762	NA	NA	NA	NA	NA	NA	NA	NA	0.01316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae>unclassified&nbsp;Ruminococcaceae>unclassified&nbsp;Ruminococcaceae&nbsp;(miscellaneous)"
"Ethanoligenens harbinense"	"S"	253239	0.05395	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01653	0.01034	0.05395	0.04233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae>Ethanoligenens"
"[Eubacterium] hallii"	"S"	39488	15.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.36	6.809	9.21	4.877	0.2008	NA	0.03051	NA	0.3524	0.2865	NA	0.1227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Eubacteriaceae>Eubacterium"
"Clostridium sp. SY8519"	"S"	1042156	3.491	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.34	2.482	3.491	0.9567	NA	NA	NA	NA	0.2423	0.1146	NA	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Mordavella sp. Marseille-P3756"	"S"	2086584	0.496	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.496	0.2999	0.3391	0.2794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Mordavella"
"Hungateiclostridium clariflavum"	"S"	288965	0.2149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2149	0.03619	0.05395	0.03387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Hungateiclostridiaceae>Hungateiclostridium"
"Hungateiclostridium saccincola"	"S"	1677857	0.2032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03307	0.06721	0.02312	0.2032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Hungateiclostridiaceae>Hungateiclostridium"
"Intestinimonas butyriciproducens"	"S"	1297617	0.1101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.06614	0.09823	0.09249	0.1101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>unclassified&nbsp;Clostridiales>Intestinimonas"
"Clostridiales bacterium CCNA10"	"S"	2109688	0.2081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01653	0.08272	0.2081	0.1101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>unclassified&nbsp;Clostridiales>unclassified&nbsp;Clostridiales&nbsp;(miscellaneous)"
"Oscillibacter sp. PEA192"	"S"	2109687	0.4933	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2149	0.2482	0.4933	0.3133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Oscillospiraceae>Oscillibacter"
"Oscillibacter valericigenes"	"S"	351091	0.7168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1653	0.2637	0.7168	0.4911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Oscillospiraceae>Oscillibacter"
"Desulfotomaculum ruminis"	"S"	1564	0.05395	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01653	0.02585	0.05395	0.01693	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfotomaculum"
"Thermincola potens"	"S"	863643	0.0496	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0496	0.00517	0.01541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Thermincola"
"Desulfofarcimen acetoxidans"	"S"	58138	0.1079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0496	0.0517	0.1079	0.0508	NA	NA	NA	NA	NA	NA	NA	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01653	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfofarcimen"
"Desulfitobacterium metallireducens"	"S"	142877	0.05731	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03307	0.04136	0.03083	NA	NA	NA	NA	NA	NA	0.05731	0.01014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfitobacterium"
"Desulfallas gibsoniae"	"S"	102134	0.07375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01653	0.02585	0.03854	0.0254	NA	NA	0.06101	0.07375	0.02203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfallas"
"Peptostreptococcaceae bacterium oral taxon 929"	"S"	2081703	0.0496	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0496	0.00517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae>unclassified&nbsp;Peptostreptococcaceae"
"Paeniclostridium sordellii"	"S"	1505	0.1355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01653	0.01551	0.06936	0.1355	NA	NA	NA	0.07375	0.06608	NA	NA	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae>Paeniclostridium"
"Christensenella massiliensis"	"S"	1805714	0.6514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.09921	0.6514	0.131	0.1524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Christensenellaceae>Christensenella"
"[Eubacterium] sulci"	"S"	143393	0.6017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01653	0.01551	0.02312	0.05927	NA	NA	NA	NA	NA	0.6017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiales&nbsp;incertae&nbsp;sedis>Clostridiales&nbsp;Family&nbsp;XIII.&nbsp;Incertae&nbsp;Sedis"
